PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST
Crisfield,PJM_EMAC,DFO,0,2.9,0,0
Crisfield,PJM_EMAC,DFO,0,2.9,0,0
Crisfield,PJM_EMAC,DFO,0,2.9,0,0
Vienna Operations,PJM_EMAC,DFO,0,18.6,0,0
Vienna Operations,PJM_EMAC,RFO,0,162.0,0,0
Deep Creek,PJM_AP,WAT,0,10.0,0,0
Deep Creek,PJM_AP,WAT,0,10.0,0,0
Chalk Point Power,PJM_SMAC,NG,0,659.0,0,0
Chalk Point Power,PJM_SMAC,NG,0,659.0,0,0
Chalk Point Power,PJM_SMAC,DFO,0,16.0,0,0
Chalk Point Power,PJM_SMAC,DFO,0,35.0,0,0
Chalk Point Power,PJM_SMAC,NG,0,103.0,0,0
Chalk Point Power,PJM_SMAC,NG,0,103.0,0,0
Chalk Point Power,PJM_SMAC,NG,0,125.0,0,0
Chalk Point Power,PJM_SMAC,NG,0,125.0,0,0
Dickerson Power,PJM_SMAC,NG,0,163.0,0,0
Dickerson Power,PJM_SMAC,NG,0,163.0,0,0
Morgantown Generating Plant,PJM_SMAC,DFO,0,65.0,0,0
Morgantown Generating Plant,PJM_SMAC,DFO,0,65.0,0,0
Conowingo,PJM_EMAC,WAT,0,45.0,0,0
Conowingo,PJM_EMAC,WAT,0,55.6,0,0
Conowingo,PJM_EMAC,WAT,0,55.6,0,0
Conowingo,PJM_EMAC,WAT,0,36.0,0,0
Conowingo,PJM_EMAC,WAT,0,48.0,0,0
Conowingo,PJM_EMAC,WAT,0,47.7,0,0
Conowingo,PJM_EMAC,WAT,0,36.0,0,0
Conowingo,PJM_EMAC,WAT,0,47.7,0,0
Conowingo,PJM_EMAC,WAT,0,48.0,0,0
Conowingo,PJM_EMAC,WAT,0,55.6,0,0
Conowingo,PJM_EMAC,WAT,0,55.6,0,0
Easton,PJM_EMAC,DFO,0,3.5,0,0
Easton,PJM_EMAC,DFO,0,1.5,0,0
Easton,PJM_EMAC,DFO,0,1.5,0,0
Easton,PJM_EMAC,DFO,0,3.8,0,0
Easton,PJM_EMAC,DFO,0,4.1,0,0
Easton,PJM_EMAC,DFO,0,5.6,0,0
Easton,PJM_EMAC,DFO,0,5.6,0,0
Easton,PJM_EMAC,DFO,0,2.5,0,0
Easton,PJM_EMAC,DFO,0,3.0,0,0
Alcona,MIS_LMI,WAT,0,4.0,0,0
Alcona,MIS_LMI,WAT,0,4.0,0,0
Allegan Dam,MIS_LMI,WAT,0,0.5,0,0
Allegan Dam,MIS_LMI,WAT,0,0.9,0,0
Allegan Dam,MIS_LMI,WAT,0,1.2,0,0
C W Tippy,MIS_LMI,WAT,0,6.7,0,0
C W Tippy,MIS_LMI,WAT,0,6.7,0,0
C W Tippy,MIS_LMI,WAT,0,6.7,0,0
Cooke,MIS_LMI,WAT,0,3.0,0,0
Cooke,MIS_LMI,WAT,0,3.0,0,0
Cooke,MIS_LMI,WAT,0,3.0,0,0
Croton,MIS_LMI,WAT,0,3.0,0,0
Croton,MIS_LMI,WAT,0,3.0,0,0
Croton,MIS_LMI,WAT,0,1.4,0,0
Croton,MIS_LMI,WAT,0,1.5,0,0
