PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST,FUEL_COST_NAME,GEN_ID,PG
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.3,0,0.0,,GEN_3765,0
LFG_PJM_WMAC,PJM_WMAC,LFG,0,1.6,0,0.0,,GEN_3766,0
LFG_PJM_WMAC,PJM_WMAC,LFG,0,1.6,0,0.0,,GEN_3767,0
LFG_PJM_WMAC,PJM_WMAC,LFG,0,1.6,0,0.0,,GEN_3768,0
LFG_PJM_WMAC,PJM_WMAC,LFG,0,1.6,0,0.0,,GEN_3769,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,2.6,0,0.0,,GEN_3770,0
WND_PJM_AP,PJM_AP,WND,0,0.0,0,0.0,,GEN_3771,0
DFO_S_VACA,S_VACA,DFO,0,1.8,0,0.0,,GEN_3772,0
DFO_S_VACA,S_VACA,DFO,0,1.8,0,0.0,,GEN_3773,0
DFO_S_VACA,S_VACA,DFO,0,1.8,0,0.0,,GEN_3774,0
DFO_S_VACA,S_VACA,DFO,0,1.0,0,0.0,,GEN_3775,0
DFO_S_VACA,S_VACA,DFO,0,1.0,0,0.0,,GEN_3776,0
DFO_S_VACA,S_VACA,DFO,0,1.8,0,0.0,,GEN_3777,0
WND_PJM_ATSI,PJM_ATSI,WND,0,0.0,0,0.0,,GEN_3778,0
WND_PJM_West,PJM_West,WND,0,0.0,0,0.0,,GEN_3779,0
WND_PJM_COMD,PJM_COMD,WND,0,0.0,0,0.0,,GEN_3780,0
NG_MIS_INKY,MIS_INKY,NG,0,1.0,0,0.0,,GEN_3781,0
WND_MIS_INKY,MIS_INKY,WND,0,0.0,0,0.0,,GEN_3782,0
DFO_S_VACA,S_VACA,DFO,0,1.8,0,0.0,,GEN_3783,0
DFO_S_VACA,S_VACA,DFO,0,1.7,0,0.0,,GEN_3784,0
DFO_S_VACA,S_VACA,DFO,0,1.7,0,0.0,,GEN_3785,0
DFO_S_VACA,S_VACA,DFO,0,1.7,0,0.0,,GEN_3786,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.0,0,0.0,,GEN_3787,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.4,0,0.0,,GEN_3788,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,4.1,0,0.0,,GEN_3789,0
