GEN_ID,PLANT_NAME,PLANT_TYPE,FUEL_TYPE,ZONE,BUS,PG,PMAX,PMIN,COST
61822_G_GT1,"Princeton Energy Center, LLC",Combustion Turbine,Natural Gas,PJM_EMAC,0,0,4.4,0,2.55
61822_G_S1,"Princeton Energy Center, LLC",Solar PV,Solar,PJM_EMAC,0,0,0.2,0,0.0
61842_G_PV1,"Sun Farm VI, LLC",Solar PV,Solar,PJM_Dom,0,0,4.8,0,0.0
61849_G_SO291,Danville,Solar PV,Solar,PJM_Dom,0,0,6.0,0,0.0
61864_G_DIXSL,"Dix Solar, L.L.C",Solar PV,Solar,PJM_EMAC,0,0,13.0,0,0.0
61890_G_SGT1,NRG Chalk Point CT,Combustion Turbine,"Natural Gas, Distillate Fuel Oil",PJM_SMAC,0,0,84.3,0,12.025
61891_G_EDGRD,"Stryker 22, L.L.C.",Energy Storage,Energy Storage,PJM_EMAC,0,0,19.8,0,0.0
61892_G_PLMST,Plumsted 537 LLC,Energy Storage,Energy Storage,PJM_EMAC,0,0,19.8,0,0.0
61893_G_BNBHQ,BNB Camden Solar,Solar PV,Solar,PJM_EMAC,0,0,2.1,0,0.0
61893_G_BNBSO,BNB Camden Solar,Solar PV,Solar,PJM_EMAC,0,0,1.4,0,0.0
61907_G_NJLND,Springfield Solar Project,Solar PV,Solar,PJM_EMAC,0,0,7.5,0,0.0
61908_G_STRAT,"Stratford Solar Center, LLC",Solar PV,Solar,PJM_Dom,0,0,15.0,0,0.0
61910_G_YEOM,Yeoman Creek,Solar PV,Solar,PJM_COMD,0,0,8.8,0,0.0
61914_G_SO829,Susquehanna University Solar,Solar PV,Solar,PJM_WMAC,0,0,3.0,0,0.0
61915_G_SO285,Bowie State Solar,Solar PV,Solar,PJM_SMAC,0,0,1.3,0,0.0
61923_G_VACUA,ACUA,Energy Storage,Energy Storage,PJM_EMAC,0,0,1.0,0,0.0
61934_G_2,WHA Southbridge Solar Park CSG,Solar PV,Solar,PJM_EMAC,0,0,1.4,0,0.0
61965_G_QKRTN,"Quakertown Solar Farm, LLC",Solar PV,Solar,PJM_EMAC,0,0,8.8,0,0.0
61985_G_CTWS,Colonial Trail West,Solar PV,Solar,PJM_Dom,0,0,142.4,0,0.0
61986_G_SGIS,Spring Grove I,Solar PV,Solar,PJM_Dom,0,0,97.9,0,0.0
62011_G_RMDSS,Richmond Spider Solar,Solar PV,Solar,PJM_Dom,0,0,20.0,0,0.0
62012_G_PLNM1,Pleinmont Solar 1,Solar PV,Solar,PJM_Dom,0,0,75.0,0,0.0
62013_G_PLNM2,Pleinmont Solar 2,Solar PV,Solar,PJM_Dom,0,0,240.0,0,0.0
62014_G_HLND1,Highlander Solar Energy Station 1,Solar PV,Solar,PJM_Dom,0,0,165.0,0,0.0
62027_G_BAT1,Caldwell Wastewater Treatment Plant Hybrid,Energy Storage,Energy Storage,PJM_EMAC,0,0,0.5,0,0.0
62027_G_PV1,Caldwell Wastewater Treatment Plant Hybrid,Solar PV,Solar,PJM_EMAC,0,0,0.7,0,0.0
62041_G_CCBO1,Cuyahoga County Landfill,Solar PV,Solar,PJM_ATSI,0,0,3.7,0,0.0
62043_G_FBCG1,First Baptist Church of Glenarden,Solar PV,Solar,PJM_SMAC,0,0,1.6,0,0.0
62054_G_AVS01,Alpha Value Solar,Solar PV,Solar,PJM_Dom,0,0,5.0,0,0.0
62074_G_PV1,"Bd of Educ of Queen Anne's Cnty, Cnty HS",Solar PV,Solar,PJM_EMAC,0,0,1.7,0,0.0
62119_G_PSUPV,University Park Solar,Solar PV,Solar,PJM_AP,0,0,1.5,0,0.0
62140_G_PULL,Puller Solar,Solar PV,Solar,PJM_Dom,0,0,15.0,0,0.0
62200_G_HILLC,Hillcrest Solar,Solar PV,Solar,PJM_West,0,0,200.0,0,0.0
62208_G_PV1,NIST Solar,Solar PV,Solar,PJM_SMAC,0,0,4.0,0,0.0
62225_G_PV1,Hunterdon Health System Solar Project,Solar PV,Solar,PJM_EMAC,0,0,1.5,0,0.0
62306_G_IFFUB,IFF Union Beach Project,Solar PV,Solar,PJM_EMAC,0,0,5.5,0,0.0
62323_G_MMDJ,Macy's MD Joppa Solar Project,Solar PV,Solar,PJM_EMAC,0,0,1.8,0,0.0
62325_G_1,46 Meadowlands Parkway,Solar PV,Solar,PJM_EMAC,0,0,1.5,0,0.0
62326_G_1,77 Metro Way,Solar PV,Solar,PJM_EMAC,0,0,1.0,0,0.0
62327_G_SP,"Synergen Panorama, LLC CSG",Solar PV,Solar,PJM_SMAC,0,0,5.0,0,0.0
62328_G_MLLPD,"Mill Pond Solar, LLC",Solar PV,Solar,PJM_Dom,0,0,5.0,0,0.0
62329_G_JMVLR,"Jamesville Road Solar, LLC",Solar PV,Solar,PJM_Dom,0,0,5.0,0,0.0
62330_G_CMDND,"Camden Dam Solar, LLC",Solar PV,Solar,PJM_Dom,0,0,5.0,0,0.0
62331_G_SOLPH,Sol Phoenix,Solar PV,Solar,PJM_SMAC,0,0,2.5,0,0.0
62332_G_BLUES,Blue Star,Solar PV,Solar,PJM_EMAC,0,0,7.5,0,0.0
62340_G_HOLLO,"Aulander Holloman Solar, LLC",Solar PV,Solar,PJM_Dom,0,0,99.9,0,0.0
62374_G_PV1,JBAB - Washington DC,Solar PV,Solar,PJM_SMAC,0,0,5.9,0,0.0
62405_G_X0009,UMCES Ground Mount,Solar PV,Solar,PJM_EMAC,0,0,2.0,0,0.0
62407_G_X0001,Anne Arundel County Public Schools,Solar PV,Solar,PJM_SMAC,0,0,1.0,0,0.0
62408_G_X0028,Fort Indiantown Gap,Solar PV,Solar,PJM_WMAC,0,0,3.0,0,0.0
62439_G_A,Owens Corning,Solar PV,Solar,PJM_EMAC,0,0,2.8,0,0.0
62444_G_BMY,Meyersdale Battery,Energy Storage,Energy Storage,PJM_PENE,0,0,18.0,0,0.0
62454_G_1,Lakewood Cheddar School,Solar PV,Solar,PJM_EMAC,0,0,1.0,0,0.0
62482_G_GEN1,Beech Ridge II Wind Energy Center,Onshore Wind,Wind,PJM_AP,0,0,56.2,0,0.0
62492_G_ACB-1,"DTE Atlantic, LLC",Combustion Turbine,Natural Gas,PJM_EMAC,0,0,7.1,0,2.55
62565_G_GEN1,"Hill Top Energy Center, LLC",Combined Cycle,"Natural Gas, Distillate Fuel Oil",PJM_AP,0,0,620.7,0,12.025
62586_G_BASF,DG Florham Park Solar LLC,Solar PV,Solar,PJM_EMAC,0,0,2.0,0,0.0
62592_G_HWII,Headwaters Wind Farm II LLC,Onshore Wind,Wind,PJM_West,0,0,200.0,0,0.0
62598_G_LOREA,Connell East LLC,Solar PV,Solar,PJM_EMAC,0,0,1.4,0,0.0
62612_G_USBC1,USAA Black Bear Energy,Solar PV,Solar,PJM_EMAC,0,0,1.9,0,0.0
62616_G_CCGWC,CCG Marketing,Solar PV,Solar,PJM_EMAC,0,0,1.5,0,0.0
62628_G_10115,APG Old Bayside,Solar PV,Solar,PJM_EMAC,0,0,1.7,0,0.0
62629_G_10115,APG New Chesapeake,Solar PV,Solar,PJM_EMAC,0,0,2.3,0,0.0
62637_G_MILFD,Milford Solar Farm (NJ) LLC,Solar PV,Solar,PJM_EMAC,0,0,7.5,0,0.0
62638_G_WASHG,McCullough Road Solar Farm,Solar PV,Solar,PJM_EMAC,0,0,8.8,0,0.0
62641_G_M3516,Morehead Generating Facility,Landfill Gas,Landfill Gas,PJM_West,0,0,1.4,0,1.5
62653_G_T1,Zephyr Wind Project - 2.0,Onshore Wind,Wind,PJM_West,0,0,1.5,0,0.0
62653_G_T2,Zephyr Wind Project - 2.0,Onshore Wind,Wind,PJM_West,0,0,1.5,0,0.0
62653_G_T3,Zephyr Wind Project - 2.0,Onshore Wind,Wind,PJM_West,0,0,1.5,0,0.0
62658_G_CF2-1,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.8,0,21.5
62658_G_CF2-2,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.8,0,21.5
62658_G_CF2-3,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.8,0,21.5
62658_G_P001,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.5,0,21.5
62658_G_P002,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.5,0,21.5
