Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
6202,9,259,11,6854.19584983745,10429.211407943,15975.2859994784,14915.5505261072,18889.8106151757,2380.57660888953,9451.88022365546,7379.47306876024,33660.5035799903
6203,9,259,12,6993.10743461875,10627.4894532976,16997.661276545,15110.907373615,19172.7443833662,2386.69096145453,9661.57403449764,7392.19514971524,34248.0071977712
6204,9,259,13,7179.69241864253,10840.1579651452,17660.1409782557,15296.8913519967,19595.4665301664,2377.55789476718,9847.48214813378,7411.09216260099,34439.8162628587
6205,9,259,14,7182.08353074266,10753.7056914559,18105.1087506027,15274.4805702722,19847.7470865314,2399.36958993486,9885.76246696529,7407.08694365258,34184.6362561968
6206,9,259,15,7032.50022882532,10745.4059178775,18572.4436489025,15033.8581889638,19916.5150930571,2378.06423188834,9712.50637492316,7342.55924726623,33434.070794931
6207,9,259,16,7027.78468065391,10686.5179847906,18328.5867623195,15031.8534917074,20500.2351959683,2386.39836160496,9824.38009092495,7446.95448799099,32508.7781747277
6208,9,259,17,6879.99711801042,10665.8375579877,18167.2044316057,14868.6049751457,20445.6528179427,2411.23973998837,9765.18021106846,7322.11675170311,32121.8460153888
6209,9,259,18,6630.44516172822,10174.8774581458,18183.8045119679,14342.0470445241,19614.4832783177,2289.55597428963,9306.58602722802,6971.79507904983,30442.4014017744
6210,9,259,19,6139.55645081331,9648.47261440076,17682.389970749,13652.6652439761,18331.2178161646,2170.92391158793,8664.6245150981,6469.49090315721,28167.0541736557
6211,9,259,20,5783.88333675405,8999.3946730339,16860.2400279805,12961.6519760078,16936.8566573172,2024.0109589892,7966.91668408683,6039.39504820041,26120.3424606269
6212,9,259,21,5449.78676057805,8479.57062323167,15620.4826024393,12378.8995363938,15714.7960042401,1940.13400105226,7290.81059918456,5666.42035012263,24294.0533278723
6213,9,259,22,5234.56222577349,8100.02925776271,14382.7009994197,11976.3852983821,14741.5242504403,1883.13920439197,6843.41596441849,5457.08850629221,23118.6880726549
6214,9,259,23,5090.30621289882,7792.9432884069,13408.5943335507,11687.1560200685,14098.5186651444,1838.23875038295,6455.8368171739,5321.131074746,22176.1994940762
6215,9,259,24,5025.4686852486,7617.17995400692,12668.3860115133,11514.0775685327,13671.4350451726,1840.09407385031,6266.95895228234,5260.22135134689,21617.9916955402
6216,9,260,1,5023.36460688517,7601.06442301783,12177.6206399259,11497.3072814929,13566.4728482767,1837.67221222553,6265.25217417144,5330.88577394124,21454.7603121243
6217,9,260,2,5158.04368677889,7924.00391827839,11866.8097441698,11784.2901101903,14108.9943514872,1950.58510874576,6626.41355639308,5661.15805374943,22327.1374829754
6218,9,260,3,5510.9774721546,8593.48277311703,11792.0270107343,12316.1429652093,15344.7791943478,2108.75464412737,7257.25469606988,6298.66263785943,24281.4996369974
6219,9,260,4,5646.28832900011,8946.92926805799,12286.2631350523,12629.6064448412,16118.2217968615,2211.42049606856,7587.67099054173,6572.76752983003,25203.1708010713
6220,9,260,5,5859.16399863307,9302.04296143277,12960.7705044835,12802.4448430589,16672.1131609662,2240.02568436809,7746.28173480248,6709.36456078903,25862.8698557315
6221,9,260,6,6052.69549757883,9888.69403518584,13362.5982418811,12936.1389933113,17090.568332512,2292.79397964707,7897.203124613,6820.80644365789,27306.8997515974
6222,9,260,7,6321.51963284375,10489.0278421041,13541.9764733272,13130.1224076089,17550.6157016767,2402.80065825268,7986.24100713906,6876.57298421642,28752.0677427111
6223,9,260,8,6551.04101090534,11050.8461169016,13719.2280707358,13418.4346984366,17894.232908168,2461.52321560054,7976.48856993158,6900.22112413316,29972.167371376
6224,9,260,9,6738.92254828868,11476.8366805383,13934.9802857557,13657.64920409,18194.8241989621,2518.04205974498,8061.25957991922,6914.8430788371,31165.7474721842
6225,9,260,10,6877.92965018168,11843.7514928323,14009.9656491447,13912.7935342942,18453.2148831201,2548.23220578349,8109.87664839761,6941.2306847547,32186.9216298011
6226,9,260,11,7025.50993281337,11847.0317530856,14070.5711175488,14179.1766032007,18656.3386109461,2556.40388706306,8231.08962204631,6846.73400641817,32698.0016836723
6227,9,260,12,7088.67249593414,11706.3319281286,13924.4148650032,14449.1363168089,18864.4239930005,2552.5786373572,8359.90461807437,6766.99047464124,32845.6182982959
6228,9,260,13,7114.32976284714,11521.2316787711,13872.4641012013,14640.0067526185,19213.060570957,2512.40676615508,8559.46641220163,6738.96665502472,32529.006029933
6229,9,260,14,7036.49114356646,11032.1331547921,13747.5333072266,14722.415724921,19579.6186917307,2442.99695674596,8748.13784492257,6708.2696108679,31743.3991553384
6230,9,260,15,6896.2390205585,10573.0514578844,13320.8878085027,14607.2085793745,19722.4251796128,2378.7435892094,8809.14925356999,6687.8124204507,30114.3967912981
