Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
PJM_EMAC_VA_WindClass 2_7,5,1,0,0,0,6011,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
PJM_Dom_NC_WindClass 12_7,4,1,0,0,0,17000,0,486000,216025,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_WindClass 12_7,4,1,0,0,0,1986,0,486000,216025,0.1,0,0,0,0,PJM_Dom,1
PJM_EMAC_DE_WindClass 10_8,5,1,0,0,0,3970,0,486000,216025,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_DE_WindClass 11_7,5,1,0,0,0,496,0,486000,216025,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_MD_WindClass 10_8,5,1,0,0,0,397,0,486000,216025,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_MD_WindClass 11_7,5,1,0,0,0,42076,0,486000,216025,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_WindClass 10_8,5,1,0,0,0,48689,0,486000,216025,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_WindClass 11_7,5,1,0,0,0,47882,0,486000,216025,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_VA_WindClass 12_7,5,1,0,0,0,11574,0,486000,216025,0.1,0,0,0,0,PJM_EMAC,1
